Yr,Mon,Day,Hr,Min,CH4,C2H6
2012,10,10,15,25,1972.24,2.7764
2012,10,10,15,30,1973.59,2.47824
2012,10,10,15,35,1951.75,1.14192
2012,10,10,15,40,1953.82,1.77824
2012,10,10,15,45,1979.51,3.08465
2012,10,10,15,50,1961.19,1.57467
2012,10,10,15,55,1953.82,1.80446
2012,10,10,16,0,1983.13,3.86365
2012,10,10,16,5,1979.53,3.38877
2012,10,10,16,10,1957.66,2.67952
2012,10,10,16,15,1956.26,3.06121
2012,10,10,16,20,1963.69,2.23485
2012,10,10,16,25,1960.4,3.23775
2012,10,10,16,30,1964.9,2.79943
2012,10,10,16,35,1962.68,3.95695
2012,10,10,16,40,1959.56,3.23448
2012,10,10,16,45,1957.42,3.91088
2012,10,10,16,50,1965.29,3.30561
2012,10,10,16,55,1956.2,2.23203
2012,10,10,17,0,1954.91,2.7166
2012,10,10,17,5,1960.75,3.06576
2012,10,10,17,10,1968.24,2.38356
2012,10,10,17,15,1945.52,1.96816
2012,10,10,17,20,1947.69,1.92621
2012,10,10,17,25,1947.2,2.45595
2012,10,10,17,30,1950.82,2.64775
2012,10,10,17,35,1951.17,4.28523
2012,10,10,17,40,1955.02,4.92871
2012,10,10,17,45,1951.21,3.78264
2012,10,10,17,50,1965.76,4.82135
2012,10,10,17,55,1957.7,6.50397
2012,10,10,18,0,1958.27,3.73765
2012,10,10,18,5,1968.42,3.6808
2012,10,10,18,10,1987.16,3.61907
2012,10,10,18,15,1979.77,2.63589
2012,10,10,18,20,1980.72,3.55781
2012,10,10,18,25,1986.4,3.98689
2012,10,10,18,30,1971.37,3.5993
2012,10,10,18,35,1968.42,2.74928
2012,10,10,18,40,1975.73,4.43809
2012,10,10,18,45,1982.63,4.89995
2012,10,10,18,50,1990.14,4.37772
2012,10,10,18,55,1982,2.37487
2012,10,10,19,0,1991.65,4.06436
2012,10,10,19,5,2008.96,5.39699
2012,10,10,19,10,2007.08,5.88491
2012,10,10,19,15,1995.62,6.0814
2012,10,10,19,20,1984.95,5.69673
2012,10,10,19,25,1986.27,5.91129
2012,10,10,19,30,2016.92,5.38929
2012,10,10,19,35,2028.8,4.08337
2012,10,10,19,40,2001.49,3.9617
2012,10,10,19,45,2013.5,4.56455
2012,10,10,19,50,2011.71,5.65751
2012,10,10,19,55,2015.02,5.59069
2012,10,10,20,0,2011.73,4.72319
2012,10,10,20,5,2040.51,5.44653
2012,10,10,20,10,2074.38,7.20866
2012,10,10,20,15,2047.7,6.2442
2012,10,10,20,20,2021.15,5.51379
2012,10,10,20,25,1976.54,2.89931
2012,10,10,20,30,1986.07,3.68944
2012,10,10,20,35,1970.32,4.2138
2012,10,10,20,40,1970.81,4.83214
2012,10,10,20,45,1981.26,6.04039
2012,10,10,20,50,1994.78,6.18629
2012,10,10,20,55,2010.07,5.98375
2012,10,10,21,0,2010.73,5.27985
2012,10,10,21,5,2019.55,5.39676
2012,10,10,21,10,2030.59,5.96878
2012,10,10,21,15,2031.98,6.54718
2012,10,10,21,20,2049.12,8.38528
2012,10,10,21,25,2014.92,7.17354
2012,10,10,21,30,2025.85,6.53023
2012,10,10,21,35,2020.13,6.68066
2012,10,10,21,40,2038.88,7.17866
2012,10,10,21,45,2005.98,6.286
2012,10,10,21,50,2005.16,4.80967
2012,10,10,21,55,2003.86,5.05158
2012,10,10,22,0,1996.26,3.94028
2012,10,10,22,5,1993.54,5.57328
2012,10,10,22,10,1999,6.36214
2012,10,10,22,15,1989.89,5.37576
2012,10,10,22,20,1988.27,5.38753
2012,10,10,22,25,1992.02,4.6779
2012,10,10,22,30,1991.51,4.65615
2012,10,10,22,35,1988.5,4.33338
2012,10,10,22,40,1974.58,3.38102
2012,10,10,22,45,1983.02,3.3542
2012,10,10,22,50,1984.11,3.48822
2012,10,10,22,55,1989.97,5.60857
2012,10,10,23,0,1988.94,4.72271
2012,10,10,23,5,1984.82,3.95134
2012,10,10,23,10,1990.75,3.8147
2012,10,10,23,15,1985.57,4.0544
2012,10,10,23,20,1986.64,4.65
2012,10,10,23,25,1994.03,3.88842
2012,10,10,23,30,2004.97,4.65571
2012,10,10,23,35,2011.57,5.74872
2012,10,10,23,40,2012.52,5.28573
2012,10,10,23,45,2013.97,4.95312
2012,10,10,23,50,2003.61,3.58255
2012,10,10,23,55,1997.69,3.78639
2012,10,11,0,0,2004.67,4.9785
2012,10,11,0,5,1993.92,4.00687
2012,10,11,0,10,1992.15,3.79843
2012,10,11,0,15,1984.42,2.75309
2012,10,11,0,20,1979.18,2.1057
2012,10,11,0,25,1979.18,2.9615
