Yr,Mn,Dy,Hr,Obs,Mod.enh,Bg_quant_0.05,Bg_quant_0.06,Bg_quant_0.07,Bg_quant_0.08,Bg_quant_0.09,Bg_quant_0.1,Bg_quant_0.11,Bg_quant_0.12,Bg_quant_0.13,Bg_quant_0.14,Bg_quant_0.15,Bg_quant_0.16,Bg_quant_0.17,Bg_quant_0.18,Bg_quant_0.19,Bg_quant_0.2,Bg_quant_0.21,Bg_quant_0.22,Bg_quant_0.23,Bg_quant_0.24,Bg_quant_0.25,Bg_quant_0.26,Bg_quant_0.27,Bg_quant_0.28,Bg_quant_0.29,Bg_quant_0.3,Bg_quant_0.31,Bg_quant_0.32,Bg_quant_0.33,Bg_quant_0.34,Bg_quant_0.35
2012,9,1,16,1931.42,7.78659,1884.34,1884.82,1885.21,1885.56,1885.99,1886.5,1887.25,1888.4,1889.36,1889.71,1890.14,1891.27,1892.4,1894.07,1895.75,1896.46,1896.99,1897.61,1898.27,1898.58,1898.65,1900.41,1904.07,1906.82,1907.8,1909.03,1911.19,1913.19,1913.42,1913.65,1916.1
2012,9,1,17,1910.25,6.47518,1884.49,1884.95,1885.4,1885.85,1886.33,1886.83,1887.57,1888.71,1889.66,1890.03,1890.47,1891.54,1892.62,1894.25,1895.9,1896.64,1897.23,1897.87,1898.54,1898.85,1898.91,1900.63,1904.22,1906.91,1907.86,1909.06,1911.17,1913.13,1913.39,1913.66,1916.05
2012,9,1,18,1904.02,5.5088,1884.33,1884.72,1885.14,1885.59,1886.1,1886.68,1887.46,1888.59,1889.54,1889.92,1890.37,1891.46,1892.54,1894.13,1895.73,1896.46,1897.04,1897.71,1898.42,1898.76,1898.85,1900.56,1904.14,1906.82,1907.78,1908.98,1911.05,1912.96,1913.23,1913.49,1915.61
2012,9,1,19,1903.11,3.49032,1884.02,1884.46,1884.83,1885.15,1885.64,1886.3,1887.13,1888.27,1889.23,1889.59,1890.02,1891.06,1892.1,1893.68,1895.28,1896.02,1896.6,1897.26,1897.95,1898.33,1898.49,1900.19,1903.64,1906.28,1907.39,1908.69,1910.73,1912.61,1912.85,1913.1,1913.5
2012,9,1,20,1904.42,0.415677,1883.75,1884.17,1884.54,1884.87,1885.34,1885.96,1886.77,1887.93,1888.89,1889.24,1889.58,1889.78,1889.97,1891.09,1892.22,1893.64,1895.12,1895.95,1896.53,1897.12,1897.72,1898.33,1898.94,1900.45,1903.7,1906.51,1907.71,1908.97,1910.8,1912.63,1912.88
2012,9,1,21,1893.01,0.113746,1883.79,1884.23,1884.59,1884.92,1885.39,1886.02,1886.81,1887.91,1888.78,1888.93,1889.1,1889.39,1889.67,1889.93,1890.2,1891.18,1892.28,1893.62,1895.05,1895.98,1896.57,1897.16,1897.75,1898.39,1899.12,1900.36,1903.45,1906.39,1907.65,1908.92,1910.64
2012,9,1,22,1896.38,0.489832,1883.4,1883.93,1884.35,1884.69,1885.13,1885.66,1886.25,1886.97,1887.7,1888.47,1889.17,1889.32,1889.46,1889.75,1890.04,1890.39,1890.76,1891.73,1892.94,1894.18,1895.45,1896.39,1896.95,1897.51,1898.07,1898.76,1899.96,1901.29,1904.07,1906.85,1908.22
2012,9,1,23,1905.72,0.841901,1882.63,1883.18,1883.65,1884.08,1884.53,1884.99,1885.46,1885.94,1886.5,1887.32,1888.11,1888.62,1889.14,1889.39,1889.63,1889.83,1890.03,1890.53,1891.13,1892.18,1893.53,1894.72,1895.73,1896.62,1897.28,1897.88,1898.28,1898.81,1900.83,1902.84,1905
2012,9,2,0,1900.15,1.5797,1881.9,1882.22,1882.68,1883.22,1883.74,1884.24,1884.7,1885.07,1885.47,1885.92,1886.41,1887.27,1888.14,1888.6,1889.05,1889.32,1889.55,1889.75,1889.95,1890.44,1891.13,1892.15,1893.53,1894.79,1895.78,1896.7,1897.31,1897.91,1898.29,1898.68,1900.86
2012,9,2,1,1892.93,2.83011,1881.05,1881.16,1881.46,1881.88,1882.35,1882.86,1883.33,1883.74,1884.13,1884.5,1884.88,1885.42,1885.96,1886.85,1887.75,1888.14,1888.44,1888.71,1888.97,1889.2,1889.41,1889.97,1890.91,1892.03,1893.5,1894.83,1895.61,1896.38,1896.97,1897.56,1898.09
2012,9,2,2,1916.13,10.6676,1880.58,1880.82,1880.99,1881.12,1881.37,1881.76,1882.19,1882.69,1883.16,1883.57,1883.98,1884.35,1884.72,1885.26,1885.8,1886.63,1887.51,1887.98,1888.29,1888.57,1888.83,1889.08,1889.34,1889.83,1890.77,1891.81,1893.24,1894.62,1895.42,1896.22,1896.81
2012,9,2,3,1906.2,2.57885,1879.53,1879.86,1880.16,1880.45,1880.65,1880.78,1880.94,1881.16,1881.46,1881.96,1882.47,1882.92,1883.38,1883.74,1884.11,1884.53,1884.95,1885.64,1886.43,1887.13,1887.78,1888.21,1888.41,1888.63,1888.86,1889.15,1889.69,1890.3,1891.66,1893.03,1894.21
2012,9,2,4,1927.03,13.7498,1879.02,1879.26,1879.55,1879.86,1880.14,1880.38,1880.59,1880.72,1880.89,1881.2,1881.53,1882.02,1882.52,1882.96,1883.39,1883.78,1884.16,1884.63,1885.13,1885.81,1886.61,1887.27,1887.77,1888.18,1888.4,1888.63,1888.91,1889.24,1889.99,1890.74,1892.07
2012,9,2,5,1934.93,30.7237,1878.84,1879.02,1879.27,1879.57,1879.88,1880.2,1880.47,1880.67,1880.85,1880.95,1881.09,1881.58,1882.07,1882.58,1883.09,1883.49,1883.88,1884.27,1884.65,1885.15,1885.72,1886.48,1887.45,1888.14,1888.27,1888.46,1888.83,1889.18,1889.44,1889.7,1890.81
2012,9,2,6,1977.84,33.5482,1878.79,1878.95,1879.19,1879.49,1879.8,1880.13,1880.42,1880.64,1880.81,1880.86,1880.96,1881.45,1881.94,1882.46,1882.98,1883.39,1883.78,1884.15,1884.52,1884.98,1885.5,1886.28,1887.35,1888.09,1888.19,1888.35,1888.74,1889.11,1889.26,1889.42,1890.48
2012,9,2,7,1906.21,18.5162,1878.62,1878.77,1879.01,1879.3,1879.61,1879.95,1880.24,1880.45,1880.62,1880.63,1880.7,1881.19,1881.68,1882.2,1882.72,1883.13,1883.51,1883.88,1884.23,1884.68,1885.2,1886.01,1887.13,1887.9,1887.95,1888.07,1888.44,1888.78,1888.86,1888.94,1890.01
2012,9,2,8,1916.27,29.0214,1878.63,1878.78,1879.01,1879.31,1879.62,1879.96,1880.25,1880.46,1880.62,1880.64,1880.71,1881.2,1881.69,1882.22,1882.74,1883.14,1883.53,1883.89,1884.24,1884.69,1885.22,1886.02,1887.15,1887.9,1887.96,1888.08,1888.45,1888.79,1888.88,1888.97,1890.04
2012,9,2,9,1930.57,46.453,1878.65,1878.8,1879.03,1879.33,1879.64,1879.97,1880.27,1880.48,1880.65,1880.67,1880.74,1881.24,1881.73,1882.25,1882.77,1883.18,1883.56,1883.93,1884.28,1884.74,1885.26,1886.06,1887.17,1887.93,1888,1888.13,1888.5,1888.85,1888.95,1889.05,1890.12
2012,9,2,10,1915.47,51.3284,1878.67,1878.82,1879.06,1879.36,1879.67,1880.01,1880.3,1880.51,1880.67,1880.69,1880.76,1881.26,1881.75,1882.27,1882.79,1883.2,1883.58,1883.94,1884.29,1884.74,1885.27,1886.08,1887.19,1887.95,1888.02,1888.14,1888.5,1888.84,1888.93,1889.02,1890.09
2012,9,2,11,2074.78,21.6174,1878.61,1878.76,1878.99,1879.29,1879.6,1879.94,1880.23,1880.44,1880.6,1880.61,1880.67,1881.17,1881.66,1882.18,1882.7,1883.11,1883.49,1883.85,1884.2,1884.65,1885.17,1885.98,1887.12,1887.89,1887.93,1888.05,1888.41,1888.75,1888.81,1888.88,1889.95
2012,9,2,12,1995.42,57.8074,1878.95,1879.11,1879.37,1879.68,1880,1880.34,1880.64,1880.85,1881.01,1881.03,1881.09,1881.58,1882.07,1882.59,1883.1,1883.5,1883.88,1884.24,1884.58,1885.02,1885.53,1886.34,1887.5,1888.28,1888.34,1888.45,1888.81,1889.15,1889.2,1889.26,1890.31
2012,9,2,13,1988.05,182.868,1882.05,1882.43,1882.86,1883.32,1883.72,1884.06,1884.34,1884.53,1884.71,1884.84,1885.01,1885.45,1885.89,1886.36,1886.83,1887.19,1887.54,1887.87,1888.19,1888.58,1889.03,1889.82,1891.02,1891.85,1891.96,1892.12,1892.47,1892.8,1892.9,1893,1893.91
2012,9,2,14,1969.29,119.969,1888.92,1889.77,1890.59,1891.39,1891.97,1892.31,1892.58,1892.72,1892.9,1893.25,1893.59,1893.91,1894.23,1894.59,1894.95,1895.24,1895.53,1895.78,1896.03,1896.3,1896.59,1897.37,1898.68,1899.62,1899.84,1900.07,1900.35,1900.61,1900.72,1900.82,1901.41
2012,9,2,15,1944.67,67.4739,1893.91,1895.09,1896.2,1897.24,1897.95,1898.29,1898.55,1898.64,1898.84,1899.34,1899.82,1900.06,1900.3,1900.57,1900.85,1901.08,1901.32,1901.52,1901.71,1901.9,1902.09,1902.72,1903.83,1904.74,1905.23,1905.66,1905.89,1906.11,1906.28,1906.44,1906.78
2012,9,2,16,1964.53,79.0688,1892.82,1893.93,1894.97,1895.97,1896.64,1896.99,1897.24,1897.35,1897.54,1898,1898.45,1898.71,1898.97,1899.26,1899.55,1899.8,1900.04,1900.25,1900.45,1900.65,1900.87,1901.47,1902.52,1903.38,1903.88,1904.32,1904.57,1904.81,1904.97,1905.14,1905.52
